,,,,,
v,alpha,K,Pr,Temperature,Ts
0.000143,0.0001942,0.01361,0.7365,30,45
0.0001469,0.00019975,0.01379,0.735375,37.5,50
0.00014755,0.000200675,0.01382,0.7351875,38.75,52.5
0.0001482,0.0002016,0.01385,0.735,40,55
0.0001488625,0.00020255,0.01388,0.734825,41.25,57.5
0.000149525,0.0002035,0.01391,0.73465,42.5,60
0.00015085,0.0002054,0.01397,0.7343,45,65
0.0001515125,0.00020635,0.014,0.734125,46.25,67.5
0.000152175,0.0002073,0.01403,0.73395,47.5,70
0.0001528375,0.00020825,0.01406,0.733775,48.75,72.5
0.0001535,0.0002092,0.01409,0.7336,50,75
0.0001541625,0.0002101625,0.01412,0.7334125,51.25,77.5
0.000154825,0.000211125,0.01415,0.733225,52.5,80
0.0001554875,0.0002120875,0.01418,0.7330375,53.75,82.5
0.00015615,0.00021305,0.01421,0.73285,55,85
0.0001568125,0.0002140125,0.01424,0.7326625,56.25,87.5
0.000157475,0.000214975,0.01427,0.732475,57.5,90
0.0001581375,0.0002159375,0.0143,0.7322875,58.75,92.5
0.0001588,0.0002169,0.01433,0.7321,60,95
0.0001594875,0.0002178875,0.01436,0.7319125,61.25,97.5
0.000160175,0.000218875,0.01439,0.731725,62.5,100
0.0001608625,0.0002198625,0.01442,0.7315375,63.75,102.5
0.00016155,0.00022085,0.01445,0.73135,65,105
0.0001622375,0.0002218375,0.01448,0.7311625,66.25,107.5
0.000162925,0.000222825,0.01451,0.730975,67.5,110
0.0001636125,0.0002238125,0.01454,0.7307875,68.75,112.5
0.0001643,0.0002248,0.01457,0.7306,70,115
0.000164975,0.0002258,0.0146,0.7304,71.25,117.5
0.00016565,0.0002268,0.01463,0.7302,72.5,120
0.0001697,0.0002328,0.01481,0.729,80,135
